date,temperature
2015-03-11,3.8
2015-03-12,5.6
2015-03-13,5.2
2015-03-14,4.4
2015-03-15,9.0
2015-03-16,9.7
2015-03-17,10.4
2015-03-18,8.7
2015-03-19,11.0
2015-03-20,13.6
2015-03-21,14.9
2015-03-22,9.9
2015-03-23,9.9
2015-03-24,9.7
2015-03-25,10.8
2015-03-26,13.8
2015-03-27,14.2
2015-03-28,17.5
2015-03-29,15.5
2015-03-30,17.3
2015-03-31,12.3
2015-04-01,9.8
2015-04-02,8.8
2015-04-03,11.9
2015-04-04,12.5
2015-04-05,12.8
2015-04-06,7.3
2015-04-07,8.5
2015-04-08,9.1
2015-04-09,11.0
2015-04-10,13.9
2015-04-11,14.2
2015-04-12,7.8
2015-04-13,11.9
2015-04-14,15.9
2015-04-15,17.2
2015-04-16,16.7
2015-04-17,17.2
2015-04-18,17.9
2015-04-19,16.9
2015-04-20,15.9
2015-04-21,18.3
2015-04-22,18.5
2015-04-23,20.1
2015-04-24,18.5
2015-04-25,22.5
2015-04-26,24.1
2015-04-27,22.0
2015-04-28,20.4
2015-04-29,21.0
2015-04-30,23.4
2015-05-01,18.4
2015-05-02,18.8
2015-05-03,19.4
2015-05-04,19.0
2015-05-05,20.1
2015-05-06,18.2
2015-05-07,18.9
2015-05-08,18.3
2015-05-09,13.3
2015-05-10,10.3
2015-05-11,14.0
2015-05-12,18.8
2015-05-13,21.2
2015-05-14,22.5
2015-05-15,21.5
2015-05-16,21.8
2015-05-17,22.8
2015-05-18,23.6
2015-05-19,22.2
2015-05-20,23.5
2015-05-21,22.9
2015-05-22,22.7
2015-05-23,24.6
2015-05-24,25.9
2015-05-25,27.4
2015-05-26,28.0
2015-05-27,26.5
2015-05-28,25.9
2015-05-29,24.7
2015-05-30,24.1
2015-05-31,26.8
2015-06-01,28.2
2015-06-02,27.9
2015-06-03,25.6
2015-06-04,20.9
2015-06-05,23.1
2015-06-06,23.9
2015-06-07,22.3
2015-06-08,24.3
2015-06-09,24.6
2015-06-10,21.0
2015-06-11,22.9
2015-06-12,24.8
2015-06-13,23.1
2015-06-14,25.4
2015-06-15,26.4
2015-06-16,27.0
2015-06-17,25.5
2015-06-18,27.1
2015-06-19,21.0
2015-06-20,24.8
2015-06-21,26.5
2015-06-22,26.1
2015-06-23,26.9
2015-06-24,25.2
2015-06-25,24.7
2015-06-26,24.3
2015-06-27,25.1
2015-06-28,27.4
2015-06-29,22.5
2015-06-30,22.3
2015-07-01,24.3
2015-07-02,26.1
2015-07-03,25.3
2015-07-04,22.7
2015-07-05,24.1
2015-07-06,25.8
2015-07-07,27.0
2015-07-08,27.7
2015-07-09,28.0
2015-07-10,28.0
2015-07-11,29.1
2015-07-12,30.0
2015-07-13,32.4
2015-07-14,30.3
2015-07-15,27.8
2015-07-16,23.9
2015-07-17,23.8
2015-07-18,23.6
2015-07-19,23.4
2015-07-20,25.4
2015-07-21,25.6
2015-07-22,25.4
2015-07-23,26.1
2015-07-24,26.7
2015-07-25,27.8
2015-07-26,29.7
2015-07-27,28.4
2015-07-28,26.5
2015-07-29,28.6
2015-07-30,24.6
2015-07-31,25.8
2015-08-01,25.2
2015-08-02,25.9
2015-08-03,25.7
2015-08-04,25.9
2015-08-05,26.8
2015-08-06,25.3
2015-08-07,25.3
2015-08-08,24.8
2015-08-09,27.8
2015-08-10,28.7
2015-08-11,28.7
2015-08-12,29.3
2015-08-13,29.0
2015-08-14,28.1
2015-08-15,27.6
2015-08-16,27.9
