date,humidity
2015-04-03,52.3
2015-04-04,52.0
2015-04-05,37.6
2015-04-06,25.1
2015-04-07,24.3
2015-04-08,49.5
2015-04-09,57.6
2015-04-10,58.2
2015-04-11,66.2
2015-04-12,51.5
2015-04-13,42.2
2015-04-14,46.6
2015-04-15,44.8
2015-04-16,14.0
2015-04-17,34.0
2015-04-18,53.3
2015-04-19,43.6
2015-04-20,48.5
2015-04-21,38.3
2015-04-22,38.1
2015-04-23,34.4
2015-04-24,40.6
2015-04-25,36.3
2015-04-26,49.4
2015-04-27,58.7
2015-04-28,59.7
2015-04-29,65.7
2015-04-30,58.7
2015-05-01,72.7
2015-05-02,69.6
2015-05-03,31.9
2015-05-04,18.8
2015-05-05,32.9
2015-05-06,17.4
2015-05-07,32.8
2015-05-08,46.1
2015-05-09,59.0
2015-05-10,82.6
2015-05-11,61.2
2015-05-12,43.6
2015-05-13,52.4
2015-05-14,27.2
2015-05-15,32.6
2015-05-16,43.7
2015-05-17,65.8
2015-05-18,35.7
2015-05-19,19.0
2015-05-20,27.6
2015-05-21,37.3
2015-05-22,43.8
2015-05-23,48.4
2015-05-24,48.3
2015-05-25,44.6
2015-05-26,43.5
2015-05-27,50.3
2015-05-28,53.3
2015-05-29,60.4
2015-05-30,55.6
2015-05-31,48.4
2015-06-01,56.6
2015-06-02,29.8
2015-06-03,36.5
2015-06-04,67.0
2015-06-05,64.7
2015-06-06,53.8
2015-06-07,48.5
2015-06-08,41.6
2015-06-09,51.2
2015-06-10,81.5
2015-06-11,56.3
2015-06-12,41.5
2015-06-13,64.3
2015-06-14,57.9
2015-06-15,55.2
2015-06-16,56.1
2015-06-17,64.1
2015-06-18,39.6
2015-06-19,66.6
2015-06-20,55.6
2015-06-21,51.8
2015-06-22,55.4
2015-06-23,61.0
2015-06-24,66.5
2015-06-25,70.7
2015-06-26,79.7
2015-06-27,77.6
2015-06-28,70.7
2015-06-29,84.1
2015-06-30,67.0
2015-07-01,58.2
2015-07-02,42.4
2015-07-03,44.8
2015-07-04,57.7
2015-07-05,60.6
2015-07-06,58.1
2015-07-07,55.4
2015-07-08,60.9
2015-07-09,50.8
2015-07-10,56.2
2015-07-11,58.2
2015-07-12,58.2
2015-07-13,43.5
2015-07-14,47.4
2015-07-15,51.6
2015-07-16,77.0
2015-07-17,77.5
2015-07-18,84.9
2015-07-19,90.3
2015-07-20,82.5
2015-07-21,83.8
2015-07-22,81.0
2015-07-23,82.0
2015-07-24,73.4
2015-07-25,70.9
2015-07-26,69.8
2015-07-27,74.1
2015-07-28,82.4
2015-07-29,79.4
2015-07-30,85.8
2015-07-31,77.8
2015-08-01,88.7
2015-08-02,87.7
2015-08-03,78.6
2015-08-04,63.4
2015-08-05,76.8
2015-08-06,75.5
2015-08-07,84.0
2015-08-08,77.1
2015-08-09,71.0
2015-08-10,66.1
2015-08-11,69.9
2015-08-12,67.2
2015-08-13,68.0
2015-08-14,60.1
2015-08-15,52.9
2015-08-16,59.3
2015-08-17,61.4
2015-08-18,64.7
2015-08-19,76.0
2015-08-20,62.2
2015-08-21,52.7
2015-08-22,60.4
2015-08-23,78.6
2015-08-24,74.5
2015-08-25,67.7
2015-08-26,63.8
2015-08-27,62.1
2015-08-28,61.5
2015-08-29,60.9
2015-08-30,81.0
2015-08-31,89.0
2015-09-01,86.3
2015-09-02,66.4
2015-09-03,66.5
2015-09-04,89.4
2015-09-05,92.6
2015-09-06,64.0
2015-09-07,67.8
2015-09-08,71.7
2015-09-09,71.8
2015-09-10,80.1
2015-09-11,70.4
2015-09-12,41.4
2015-09-13,56.5
2015-09-14,69.9
2015-09-15,74.0
2015-09-16,73.1
2015-09-17,76.4
2015-09-18,68.4
2015-09-19,55.3
2015-09-20,70.3
2015-09-21,65.7
2015-09-22,79.3
2015-09-23,74.7
2015-09-24,83.4
2015-09-25,60.0
2015-09-26,62.0
2015-09-27,61.8
2015-09-28,85.8
2015-09-29,92.2
2015-09-30,86.0
2015-10-01,45.1
2015-10-02,56.3
2015-10-03,62.2
2015-10-04,76.7
2015-10-05,81.9
2015-10-06,81.7
2015-10-07,75.9
2015-10-08,22.5
2015-10-09,39.4
2015-10-10,30.0
2015-10-11,29.6
2015-10-12,41.3
2015-10-13,52.0
2015-10-14,67.1
2015-10-15,67.1
2015-10-16,79.6
2015-10-17,80.8
2015-10-18,51.5
2015-10-19,68.2
2015-10-20,79.3
2015-10-21,93.4
2015-10-22,86.4
2015-10-23,78.9
2015-10-24,70.2
2015-10-25,62.3
2015-10-26,68.0
2015-10-27,46.2
2015-10-28,36.1
2015-10-29,28.9
2015-10-30,50.4
2015-10-31,57.4
2015-11-01,59.6
2015-11-02,58.4
2015-11-03,73.7
2015-11-04,74.5
2015-11-05,79.8
2015-11-06,86.9
2015-11-07,78.8
2015-11-08,77.1
2015-11-09,89.2
2015-11-10,90.0
2015-11-11,88.6
2015-11-12,91.0
2015-11-13,88.3
2015-11-14,87.8
2015-11-15,82.1
2015-11-16,77.4
2015-11-17,72.7
2015-11-18,74.1
2015-11-19,96.5
2015-11-20,95.4
2015-11-21,97.8
2015-11-22,94.8
2015-11-23,71.3
